wallet,missing_cell,mint_in_events,incoming_events,outgoing_events,mention_events,cell_outgoing_amount_guess,cell_outgoing_vs_missing_percent,all_outgoing_amount_guess,first_seen,last_seen,top_outgoing_destinations,datum_type_counts
Rj7J7MiX2bWy8sNyYGgPafZJwNLapXVSmLGM5ZqCy7qwiCmAf2uq2mHFGJRf6Fj5WrKC1pirafv3AUjUtsbSWp7R7SsS2V1rMhQZTytj,45579.10001334006,118,0,0,8,0.0,0.0,0.0,2024-08-19T15:15:15,2025-07-23T11:18:56,,DATUM_TOKEN_EMISSION:126
Rj7J7MiX2bWy8sNyYtxiKgf4HYW1jrtZ2jkXoD8cM7Q7kYfqWF2cPhH8mjSNZMmYdCsWkUQxAYCzXwgaXizVybRSC1MSQKFwBQq7LYNE,43937.5891975,2,0,0,2,0.0,0.0,0.0,2024-10-15T17:38:44,2024-10-15T18:41:42,,DATUM_TOKEN_EMISSION:4
Rj7J7MiX2bWy8sNyaDumZJ9Gk6CZx1YPx4Mern4J2kbWuzeWkBnpoS1Mzxk4bBp1JDgMX2tg8rmmETetTrfPQAG7b2zfF5xfNVUQ3Zdn,40080.0,2,0,0,2,0.0,0.0,0.0,2025-07-02T17:03:40,2025-07-02T17:29:25,,DATUM_TOKEN_EMISSION:4
Rj7J7MiX2bWy8sNyX77XcQQtJgmFUWUCVuggHvozFQsrXZYx5EyBmqDhTDDAUV3vZCerBLZt2pBFQBy7DMuMtsKxxUTamRqH5XTp7p4W,39851.05278931044,24,0,0,4,0.0,0.0,0.0,2025-03-31T07:55:46,2025-05-21T10:20:46,,DATUM_TOKEN_EMISSION:28
Rj7J7MiX2bWy8sNya9DU4fwU9tvioJtd2tjNpW4RcwhV1dUc7oUWK4znw3Q7HZxtT7PgZsd2bzEWZNQCwRakcuy84sTcwwQ9eNpV31WS,39212.296837549504,13029,0,0,2,0.0,0.0,0.0,2024-07-26T07:59:01,2025-04-21T13:20:18,,DATUM_TOKEN_EMISSION:13031
Rj7J7MiX2bWy8sNyXEmkC6VGjzCYDm4AzSeSvFmiQS47Qva64h1VkH4tRL2M4VQ7LkQfdQbR78ZhtsjPFEN5jrtVpxCYzoFNWLindcMn,38557.71666584294,136,0,0,7,0.0,0.0,0.0,2024-07-13T16:21:00,2025-03-16T15:18:32,,DATUM_TOKEN_EMISSION:143
Rj7J7MiX2bWy8sNyX38bB86KTFUnSn7sdKDsTFa2RJyQTDWFaebrj6BucT7Wa5CSq77zwRAwevbiKy1sv1RBGTonM83D3xPDwoyGasZ7,38192.25056268683,2075,0,0,0,0.0,0.0,0.0,2024-11-05T12:20:04,2026-04-13T18:51:38,,DATUM_TOKEN_EMISSION:2075
Rj7J7MiX2bWy8sNyY2BvqkQ4JghxMSjAFv6zxXmacxoqwaTGRgGM11yy5PPS7UU1rM9YuNDPbNJHDsduogC5st6nXQaaqkWvtqx7pHQ4,36559.10172256444,18,0,0,16,0.0,0.0,0.0,2024-11-17T17:16:19,2025-07-27T13:08:35,,DATUM_TOKEN_EMISSION:34
Rj7J7MiX2bWy8sNyXDEEJn5XyW8SfN5DoUFMDTfNPU8TmKMrCTf2tmnqxCPqtdA7okdGjBNdLQfxqS3gWvybujR1vCm8n6rxcVDYFNm2,35572.067625749005,7,0,0,0,0.0,0.0,0.0,2024-11-05T22:51:22,2024-11-18T11:10:25,,DATUM_TOKEN_EMISSION:7
Rj7J7MiX2bWy8sNyWzC8kk8ubSVZnXQvrBdTwjoWa2XXkk6NVTwfVmZ5TVG7QxxbKXXz3iPWUjw6zxLZ2qevsaA68wxiKhd14BQDg9kL,35287.828274892214,4,0,0,0,0.0,0.0,0.0,2024-07-18T19:10:01,2024-11-07T21:50:25,,DATUM_TOKEN_EMISSION:4
Rj7J7MiX2bWy8sNyZqRQDdfyted4g2ZZbFud3dUAVJP7Nk13nZrdWF59qUyXjFu7HfZ1esxVutNCBqxt7XinWe1gPciaKgNbpP1Z4hUh,34715.21211889605,16,0,0,1,0.0,0.0,0.0,2024-12-05T13:54:28,2025-07-14T15:39:23,,DATUM_TOKEN_EMISSION:17
Rj7J7MiX2bWy8sNyWhHARQ87FY53ZFu5TYpEbQWYw7oxj6SJiNPri3sXkkdp2n4psr2FTrE8trmzF4PM2nsya91TKS1KHWoQ3qkZpbEb,34563.01506432197,3,0,0,1,0.0,0.0,0.0,2025-04-08T19:43:17,2025-04-09T11:35:19,,DATUM_TOKEN_EMISSION:4
Rj7J7MiX2bWy8sNyapKYAtpd4HXoNcekQwZYVeyr88SPWUsv1RKWcKCGw1NkLFRBY39sLmbxuRcdGK2Nh4oPudjFyTCDiPUNeDLV8Xmv,31909.22465,4,0,0,4,0.0,0.0,0.0,2025-01-17T17:15:41,2025-07-10T18:57:35,,DATUM_TOKEN_EMISSION:8
Rj7J7MiX2bWy8sNybVzehoBHysWkQRWnBeauiWZ6sPRvJwBWvroe67Jtou445RkVrZarD6eXtSqheGwHxNaKV5jir1LtoBNeLyaiR4a5,30255.17627332115,12,0,0,5,0.0,0.0,0.0,2024-12-21T15:10:15,2025-03-25T13:51:45,,DATUM_TOKEN_EMISSION:17
Rj7J7MiX2bWy8sNyZ6kKSiPzPv1amNJEoksQsuWsqCG9LoxyhHW8BMg7gG9kbCFN98p5Vziw3BNU2cpZ1aTirme7n8fJsBnVdyPJveiE,30137.265352599363,9,0,0,5,0.0,0.0,0.0,2025-01-24T07:09:43,2025-07-15T18:31:25,,DATUM_TOKEN_EMISSION:14
Rj7J7MiX2bWy8sNyZmNxsSPECMCjdmXjxDgWN2mfrbfjsQ6MJ6RyVmpW2JaE2Korrf4h5qwqavKGVnFuYk3FzsW9MtH7A9j8tyBH7KtM,29167.289435165458,108,0,0,2,0.0,0.0,0.0,2024-08-27T20:26:29,2025-05-08T09:42:29,,DATUM_TOKEN_EMISSION:110
Rj7J7MiX2bWy8sNyZsRvFwuvdX2KwmhCm4jg5kVPdFurpQuc5zwDTiAEHNV5nr24BAcQLgktHS4RUzSsSgQnBgFAhPw5gMeQrjFozhCg,27602.261508959346,3,0,0,1,0.0,0.0,0.0,2025-01-16T10:59:21,2025-04-25T08:08:18,,DATUM_TOKEN_EMISSION:4
Rj7J7MiX2bWy8sNyaXJVmXbH4VRHogimP3B5m8hFogFmqmCtEJgAEJ5jxTwwMkCXk6AcSfbHvQQfA5cLRLCYqj3BTtEDpvWYy3ZJcCdp,24917.5,8,0,0,8,0.0,0.0,0.0,2025-01-03T08:01:49,2025-01-12T03:54:12,,DATUM_TOKEN_EMISSION:16
Rj7J7MiX2bWy8sNyZzzNeWXS8nu3tDRNaCM8uASBWMEh2waTKSyVAEaGuSMtKjGJuqtRPgkxyn2UjMXMKZHrFMuTDohEeuiJGtRn9ymu,23953.434999999998,5,0,0,5,0.0,0.0,0.0,2024-12-15T21:05:29,2025-01-13T08:12:48,,DATUM_TOKEN_EMISSION:10
Rj7J7MiX2bWy8sNyYNaTHJqHV3ezsKMaQGqdkK2w7VtLoXBR2foJ7vzHTUjbaqToF1uQDKTyRhFA6sfzKKbZ2QNhDsds3MxBCikWcBuF,23372.36292989578,8,0,0,7,0.0,0.0,0.0,2024-12-03T09:46:56,2025-06-10T06:23:39,,DATUM_TOKEN_EMISSION:15
Rj7J7MiX2bWy8sNyX4BhgjWTrVz98ANo4VhktfhDtBwhQFXjmh9fctPEoZVhaDSSGLGwbnnnhZs8roa8D24wAwUcfUcrHsYvJWbkXimm,23174.064179650628,2,0,0,1,0.0,0.0,0.0,2025-04-29T00:29:22,2025-04-29T00:45:50,,DATUM_TOKEN_EMISSION:3
Rj7J7MiX2bWy8sNybgJ6UqdYdBqbrV6p2J3tQ29BHFT4wSUcNwH8a8UQZiiWtum9VjN5vZUTP6QU69iybewzmDJrJRmZYpJve3FfEvEn,22465.607634609118,2,0,0,0,0.0,0.0,0.0,2024-12-05T17:42:22,2025-04-15T18:56:17,,DATUM_TOKEN_EMISSION:2
