address,address_short,first_seen_hop,incoming_cell_all_dataset,outgoing_cell_all_dataset,net_cell_all_dataset,total_volume_cell,incoming_edges,outgoing_edges,suggested_review,classification_hint,manual_label,manual_class,notes
0xfd0000000100069ad1670066004306009b487ad7,0xfd000000...9b487ad7,1,497380.78846547,497380.78846547,0.0,994761.57693094,2,2,large balanced pass-through wallet,balanced pass-through,,,
0xf4842dded96eb770bae8470ac84c24d807f88eab,0xf4842dde...07f88eab,1,482148.92936513,479478.39633614,2670.53302899,961627.32570127,46,30,large balanced pass-through wallet,balanced pass-through,,,
0x848f0f7c377644aa928cd89b7fec7c88ada7d90d,0x848f0f7c...ada7d90d,1,472296.91873469,472296.91873469,0.0,944593.83746938,1,1,large balanced pass-through wallet,balanced pass-through,,,
0x426b47ef7d046f6601fca36a62932f520b21c589,0x426b47ef...0b21c589,2,467452.0,467452.0,0.0,934904.0,2,6,large balanced pass-through wallet,balanced pass-through,,,
0x9ca2d7b2b114dc8cee94d6c1c801e368a5ac255c,0x9ca2d7b2...a5ac255c,1,459313.54698492,459313.54698492,0.0,918627.09396984,3,5,large balanced pass-through wallet,balanced pass-through,,,
0x4cb57ffc74460772c84e07b684cf59b730802810,0x4cb57ffc...30802810,1,441725.30788911,463512.39638904,-21787.08849993,905237.70427815,3,15,large unclassified downstream wallet,balanced pass-through,,,
0x60a531d4055fb1a8ed226d311275704da9596cab,0x60a531d4...a9596cab,1,443056.79187894,460151.53211747,-17094.74023853,903208.32399641,1,1,large unclassified downstream wallet,balanced pass-through,,,
0xd1c02ed89925c3c97e5e0652df6f5481a30d8707,0xd1c02ed8...a30d8707,4,426369.25171411,426369.25171411,0.0,852738.50342822,2,2,large balanced pass-through wallet,balanced pass-through,,,
0xaa488f379d38e8a347c53fc0a47013bf627c46ba,0xaa488f37...627c46ba,2,420542.31963889,420542.31963889,0.0,841084.63927778,5,9,large balanced pass-through wallet,balanced pass-through,,,
0xa296d6c3272c3a06bf02249df336176ed733831e,0xa296d6c3...d733831e,1,420000.00009442,420000.00009442,0.0,840000.00018884,7,7,large balanced pass-through wallet,balanced pass-through,,,
0x72831eeae92b72a31a5dd60b05591914cc71158e,0x72831eea...cc71158e,2,417831.13060174,419550.13060174,-1719.0,837381.26120348,3,1,large balanced pass-through wallet,balanced pass-through,,,
0xeb27941e02b0b70761fb56e7a2d7eb3f01347ae0,0xeb27941e...01347ae0,1,417824.53733071,417824.53733071,0.0,835649.07466142,3,2,large balanced pass-through wallet,balanced pass-through,,,
0xe3c29272e81209697acaa3a812acbed73dedc95c,0xe3c29272...3dedc95c,1,415377.90110597,415377.90110597,-0.0,830755.80221194,2,2,large balanced pass-through wallet,balanced pass-through,,,
0xda5dd51a8869aa961b13a3fcae5ef5e2cd565bef,0xda5dd51a...cd565bef,1,409828.67137913,409828.60532896,0.06605017,819657.27670809,4,2,large balanced pass-through wallet,balanced pass-through,,,
0xd073e319f26e598b20cd512f9926730750dcc91c,0xd073e319...50dcc91c,1,400429.8671758,400429.8671758,0.0,800859.7343516,4,1,large balanced pass-through wallet,balanced pass-through,,,
0xe05a5afad2b701891d602df46068e11e40b68bfe,0xe05a5afa...40b68bfe,2,400429.8671758,400429.8671758,0.0,800859.7343516,1,4,large balanced pass-through wallet,balanced pass-through,,,
0x00738cc5c46e100c5a14e6ba535f68056c8e1a9c,0x00738cc5...6c8e1a9c,3,400101.16295046,400101.16295046,0.0,800202.32590092,2,3,large balanced pass-through wallet,balanced pass-through,,,
0x96d4f9d8f23eadee78fc6824fc60b8c1ce578443,0x96d4f9d8...ce578443,1,399404.54582653,399404.54582653,0.0,798809.09165306,1,1,large balanced pass-through wallet,balanced pass-through,,,
0x21375e8ff94a9acad555e0d8a4f17c69c5e33bd5,0x21375e8f...c5e33bd5,1,397245.88837485,397245.88837485,-0.0,794491.7767497,2,1,large balanced pass-through wallet,balanced pass-through,,,
0x01ff6318440f7d5553a82294d78262d5f5084eff,0x01ff6318...f5084eff,1,388601.47192834,388601.47192834,0.0,777202.94385668,2,2,large balanced pass-through wallet,balanced pass-through,,,
0x000000d40b595b94918a28b27d1e2c66f43a51d3,0x000000d4...f43a51d3,1,376496.89371904,376472.36131109,24.53240795,752969.25503013,5,5,large balanced pass-through wallet,balanced pass-through,,,
0x84d99aa569d93a9ca187d83734c8c4a519c4e9b1,0x84d99aa5...19c4e9b1,1,354537.59893923,354537.59893923,0.0,709075.19787846,8,3,large balanced pass-through wallet,balanced pass-through,,,
0x3aaa3069206ea08d70c212f53b7ec96265193a61,0x3aaa3069...65193a61,2,343643.89851529,343643.89851529,0.0,687287.79703058,11,11,large balanced pass-through wallet,balanced pass-through,,,
0x1111111254fb6c44bac0bed2854e76f90643097d,0x11111112...0643097d,1,340669.57125381,340669.57125381,0.0,681339.14250762,6,50,large balanced pass-through wallet,high-activity routing wallet,,,
0xf081470f5c6fbccf48cc4e5b82dd926409dcdd67,0xf081470f...09dcdd67,2,319708.4093727,319708.4093727,-0.0,639416.8187454,14,39,large balanced pass-through wallet,balanced pass-through,,,
0xdb8d132485b3e3bf379094fbeaa4c03410e8e414,0xdb8d1324...10e8e414,1,315273.25016184,315273.25016184,-0.0,630546.50032368,6,9,large balanced pass-through wallet,balanced pass-through,,,
0xabf864065fdeb8996eb5469d6c25aae84507d231,0xabf86406...4507d231,1,315070.41685918,315070.41685918,0.0,630140.83371836,1,1,large balanced pass-through wallet,balanced pass-through,,,
0xa38f6cda1755c65a94ede3e04a58889fcadffbe8,0xa38f6cda...cadffbe8,3,314284.49017918,314284.49017918,0.0,628568.98035836,11,15,large balanced pass-through wallet,balanced pass-through,,,
0x3277ab506fb17d839f04d1bcf3a60c41357d2ab6,0x3277ab50...357d2ab6,1,303233.37409398,303233.37409398,0.0,606466.74818796,6,6,large balanced pass-through wallet,balanced pass-through,,,
0x1cb0db7f52826f741c8e1af4631686f2a0395dc3,0x1cb0db7f...a0395dc3,2,306214.38581815,294190.89890209,12023.48691606,600405.2847202399,5,6,large unclassified downstream wallet,balanced pass-through,,,
0xfb3cee83a0a97c8d7999ebd59496a4fde4f40033,0xfb3cee83...e4f40033,1,297938.91375202,297938.91375202,0.0,595877.82750404,1,1,large balanced pass-through wallet,balanced pass-through,,,
0xc6fecdf760af24095cded954de7d81ab49f8bae1,0xc6fecdf7...49f8bae1,1,294604.55571584,294604.55571584,0.0,589209.11143168,4,2,large balanced pass-through wallet,balanced pass-through,,,
0x48c04ed5691981c42154c6167398f95e8f38a7ff,0x48c04ed5...8f38a7ff,5,293326.91189607,293548.62980053,-221.71790446,586875.5416965999,74,92,large balanced pass-through wallet,high-activity routing wallet,,,
0x4bba5f077a8fcfaf8d6d07c6cfbce553e2d94c9c,0x4bba5f07...e2d94c9c,1,280995.38718688,299537.04302227,-18541.65583539,580532.4302091501,1,1,large unclassified downstream wallet,balanced pass-through,,,
0x9e5936931742d68c07f7ff6503555e178a115c42,0x9e593693...8a115c42,1,275478.9756409,275478.9756409,0.0,550957.9512818,1,1,large balanced pass-through wallet,balanced pass-through,,,
0xab20115f7bb6d91bdf85dc2bccaf07ac829eb243,0xab20115f...829eb243,1,273132.79884932,273132.79884932,-0.0,546265.59769864,2,2,large balanced pass-through wallet,balanced pass-through,,,
0x2d2a7d56773ae7d5c7b9f1b57f7be05039447b4d,0x2d2a7d56...39447b4d,1,271600.10177814,271600.07461813,0.02716001,543200.17639627,2,2,large balanced pass-through wallet,balanced pass-through,,,
0x210e4f2d84eb8bdf8386aa3ac393b17a977dedd8,0x210e4f2d...977dedd8,2,343780.19339151,195023.19613895,148756.99725256,538803.38953046,3,4,large unclassified downstream wallet,manual review,,,
