recipient,first_block,amount_cell,txs,share_of_total_out_percent
0xa8899825f0cf3eeb984d203b0875d129fa829820,22852911,147.1447198717,1,0.01565896676669095180283950561
0x83900587f0952c660a4d0febb81c3010630dfc56,22871991,129.05144680776715,1,0.01373350208229163261519289743
0xc692d3ff00593df26710b8bbd9b2fd31010a09c6,22866378,119.912446,1,0.01276094044328503269176131197
0x4a5fe33538a971be1f20211a20dea7d433cdd858,22873348,114.95,1,0.01223284281896488466191376674
0xa8705b372330274bf06eb8e002409019b7b3987a,22852456,105.7298,1,0.01125164005811738549218973619
0x0da051507e98d6800cd798ecbaa2ca84dc71caa1,22881096,100.1395439397846,1,0.01065673163095443739517651721
0xc7f86c5b75c5a167a9f7d979bbda0d1f1ede0064,22857769,100.1362595800294,1,0.01065638211328026344488068772
0xc796d9b7f6084034beb42966bc6f1925f64cbc10,22899821,100,1,0.01064188153019998665673228947
0x0ee11d1eea2dccd96b505ccdb3458fd2c18ba194,22912742,100,1,0.01064188153019998665673228947
0x4045b4239e1d6d42c2d84b7b2115c2888cd30d9f,23086660,94,1,0.01000336863838798745732835210
0xef4bd2ea679880917333feecf61ed422ff9c7069,22850664,79.67,1,0.008478387015110329369418615019
0x5587575fdbc8ce7c03c04429de3be8158f446120,23014030,67,1,0.007130060625233991060010633944
0x62394eadd26d52e00ddc8122aba8a6df8e602c95,22855076,52.259018,1,0.005561342784405886462939325365
0x367bce486a90c144b795e53f9fcfe39831a4ffc0,22938167,44.61888888,1,0.004748289294701175688142207277
0xdd1ec05e2cd4884badddc2861c3fb93ecae7615f,22764056,41,3,0.004363171427381994529260238682
0x3deb0cc234afa16bc1340cc98984ab9f00fb385c,23106381,40.514,1,0.004311451883145222594108519755
0x603c3524c018f22fc7edb1e8a64219659c4b1794,22763986,39.0000005,7,0.004150333849987402447125526176
0xddce9209e25e9c91831858c1c41ae1a47416d557,22858526,31.7,1,0.003373476445073395770184135761
0x1494e582fec496fce013cdb733122efe5d2f2981,22999047,30,1,0.003192564459059995997019686841
0x6647ac704ccd6ef01c3ac04fc66a5d4e4a8d4b00,23066647,30,1,0.003192564459059995997019686841
0x22ad8a9928533a9f210e1d2cae97b88f4bc5b04e,22914069,25.158776127,1,0.002677367149883576538351148681
0x149a958e99b6302fd8f582761aeaf777f27baca4,23055475,24.126803599,1,0.002567545856029606652594005791
0xc84ee1dfa2dcfc3260cd44a8eb2efddca108b40d,22857721,23.4439,1,0.002494872064058554671817661211
0x6e734fcf360cc1a23510d3e9892a555b83952ae4,22853350,12.11195,1,0.001288939369997057283870086534
0x7ba27064ec575fdd4828cccdf68ef58153441346,23022415,10.44,1,0.001111012431752878606962851021
0x4c5215e12be17c7bfb47e5e404b4947a6bcdaa1a,22850569,5,1,0.0005320940765099993328366144734
0x2c46a1f4e38076d1681a571b44c5a0694c155a8d,22966161,2,1,0.0002128376306039997331346457894
0x8a9856f27a0bfacf74502056f7655590a5575b9b,22879805,1,1,0.0001064188153019998665673228947
0xf335e44d79672305fc5273ad7abaff129f9dbdd0,23046725,1,1,0.0001064188153019998665673228947
