recipient,first_block,amount_cell,txs,share_of_total_out_percent
0x0dc726e2bb69f9ef5d2f10e920c60947cf81a870,25636204,133,1,0.002659946801063978720425591488
0x20483bb97b5ec60055c54da1b6ea5aa9e9b2c8c7,26490942,133,1,0.002659946801063978720425591488
0x8ceabd645c11e282859fd3249eb12a7b003a0ed2,37414876,133,1,0.002659946801063978720425591488
0x6bcea9dc01d755f9b3146a4703a5ce0cec124c2b,34634118,130.15,1,0.002602947941041179176416471671
0xba477a0338e869b1ab518405d5145d31454b0c40,23412447,129.5255896214077,1,0.002590459983228489430211395772
0x1bb894adc8d1129b28029fb836b42cf09e114f6b,37055340,129.28612,1,0.002585670686586268274634507310
0x97049593ebc803ef68efa65fb5d7e698d760408d,37709524,129.23951121,1,0.002584738529429411411771764565
0x83900587f0952c660a4d0febb81c3010630dfc56,22871991,129.05144680776715,1,0.002580977316609010819783604328
0xe430848db5232176e1ed7909c9dbdad8bf36da67,29676455,128.503616345396750678,1,0.002570020926489405225455490890
0xd4804df05b37844375ea9a7f594f660c69241cb1,27278748,128.2399681902765,1,0.002564748068844153116937661247
0xbb45755cd636db0e63f07e56998f330190a1213c,36958730,125.939907562961938668,1,0.002518747776303712699106017880
0x879968356d42a20b2a48132a587701f1f2afdd2f,28661412,124.426767767159834154,1,0.002488485585631484053398932021
0x4fc1c61ebb1fc95870cace5a15a6a1b40803a086,27324760,124,1,0.002479950400991980160396792064
0xef2215f0a2ed9d94781a67e5b51c081678570697,36966970,124,1,0.002479950400991980160396792064
0x334de1cfc5ba886d7927150030dc3390558e1b25,23158601,123.87704624983213,1,0.002477491375169139217215655687
0x95f503372c6b6ae33f022fa048dcd802eb1fb966,36946412,123.539936591598442653,1,0.002470749316845631940421191576
0x09208371214d96035b0a33049dc39ac3c956534c,24836526,123.5,1,0.002469950600987980240395192096
0xac93c3a5094c6018c086dd67d67aae24a8103038,37480241,122.60947149,1,0.002452140386992260154796904062
0x9d049ee86269a45ac2ba15df20f3291acbd5b6a1,36905518,122.419458071623999035,2,0.002448340194628587408951820964
0x872cf2071f4a57ff614ceaa28ec138471ac7e701,23692082,121.4527,1,0.002429005419891602167956640867
0x4f66aa2e14419ff71b9f1d4692ba69e55ad5108d,37069699,121.31474949,1,0.002426246464870702585948281034
0x86d99392f191138a8937d678605876f2a9ab3dee,25034810,121,1,0.002419951600967980640387192256
0xc692d3ff00593df26710b8bbd9b2fd31010a09c6,22866378,119.912446,1,0.002398200955980880382392352153
0x663013d78cf3adb63636d4ae9515caa7dd13f840,37281546,119.498560138586518474,1,0.002389923404303644296594068119
0x1af18bffa85d2609328906776155173c1072e97b,36786566,119.067951146986422746,1,0.002381311396711794219035619288
0x7dd0b0bcaf47a67dbd1c16952c2dc01033780174,36025943,118.800289450115054882,1,0.002375958269836904359552808944
0x6bb8629bb9b916d211a8a481d134aa20f977bd5b,35978852,118.626088004916930755,1,0.002372474310612126372572548549
0x303c824d64f58dcaf2da3903ca157d53a32a8970,34776261,117.149172020687813278,1,0.002342936581682122623107537849
0xf249742e594f17e246d8fb7030fc0d3fd344484b,25602620,116.2895,1,0.002325743485130297394052118958
0x7a716ec21eb5a1501524fe9e542f74edf1d1ac7c,36243433,115.567,1,0.002311293774124517509649807004
0x8a3520d826ca14bca29a33d3e658fb5553ae7303,25660632,115.3,1,0.002305953880922381552368952621
0x43cf35c8976ae177ea2e4bf1a33bb34c87ce78ea,37017334,115,1,0.002299954000919981600367992640
0x4a5fe33538a971be1f20211a20dea7d433cdd858,22873348,114.95,1,0.002298954020919581608367832643
0x292d354201c6f52cd6bd7d79c2bf1f1ce501836c,27457926,114.46656385551776,1,0.002289285491400527189456210876
0x4bba4957aa927d965c2079bac28fa05c86358f1f,37128777,113.179274907290801418,1,0.002263540227341269202975940481
0xa694bce90caa71a5ff89ca95ae555b3197ef6bd5,26644890,113.0956030705504,1,0.002261866824074526509469810604
0x76c264d67f1a3a173da8d3f44601e7c63118b10c,23954642,112.8,1,0.002255954880902381952360952781
0x0de78ebf7aa5cba6c8247c3d01d69f10bd728b28,38058970,112.184005648421701521,1,0.002243635240263628757844843103
0x1845dd8183fb7588760877c24a7b12919b18faea,36706629,111.84964,1,0.002236948061038779224415511690
0x4ac2c547b842aa861b06fb1a3d04d1f778131fa5,35988606,111.722070647212972299,1,0.002234396725009759250794984100
0x6d29c84470aa7af6616c029c47430381048d4773,36812485,111.263439517557112031,1,0.002225224285865424932121357573
0xff268e0b92354a37cfef436e64121fd3e7a84ea4,36772569,110.67744881430264889,1,0.002213504706191929139217215656
0xc15cb49991cd6e49a60a6c42cae2cb3ee5da6307,34860561,109.35,1,0.002186956260874782504349913002
0x580b1d1e7c5fde081c8798eff5715d4eabc286db,28080490,109.25,1,0.002184956300873982520349593008
0xa5c0fcbf4094d519c2fbff5e078be2a324607aae,36487203,109.118439521207523388,1,0.002182325143921272042319153617
0x603c3524c018f22fc7edb1e8a64219659c4b1794,22763986,109.037014331544174854,15,0.002180696672697429548489030219
0xc15990c62cc6f07ca9400534912fbb1233f57230,36709560,108.824311846585783065,1,0.002176442708077554110217795644
0xaaa89318ac0404bbe558dfeb4ec769e467b0d44e,36879565,108.551307271939006554,1,0.002170982725784264445791084178
