recipient,first_block,amount_cell,txs,share_of_total_out_percent
0x51147c610af2e69ac2bdccd520807ccf9a33319f,66805551,1022.653692,1,0.04862313113995030980362084074
0x4812575e84bd0996b6026ee690606715aad6e5ca,66624380,1013.93,1,0.04820835414998904401274608516
0xe739d66fbd09cbc41bd96b340a3e5e31e9d69c6e,66468800,1013.89,1,0.04820645230847533048048990392
0x517867d81c43dcf122779942c08d13232f20942b,66701171,1008,1,0.04792640614558101285576721652
0x636126d4c47721a28faf9d6302a61c76ce9ac59e,66618846,992.26,1,0.04717803150993473791295989907
0x446cf8bb9d05b4086a6040347fe5881a20097e22,66808271,859.27,1,0.04085488393721567154422132553
0xc3ed45bf267fb3e30eee71609ff90aa977286743,66779566,836.19,1,0.03975752138380296343240475077
0x39d5c018a65fc13ff29a83bd00994817100c19a1,67174138,823,1,0.03913038914465592617092898729
0x398d3102e14a62751ffb4ff63e95632c5d6e60ad,66935496,701.6,1,0.03335830015053535577341892769
0xb85ccf5d9a527ab33d4d919aca01fe3031d8838d,66972500,645.44,1,0.03068811466528155648574046848
0xdcad7304309849403af8f9fa28295467acfa63a5,66821467,643.71,1,0.03060586001981344621566062990
0x47d04a11d63f71dbd0586cb6dcf9f5ef5966f8bf,66704287,628.24,1,0.02987032281438473761558253582
0xee416bc47399d451445658b3da7b84e4d121b56b,66583204,598.7,1,0.02846581285650729404439269100
0xf649772782bac7be8baf7993725877fb18d3edba,67018510,557.55,2,0.02650929339927449773584624164
0x4342c5247365733dfa45f2d0cb91ed4e14892019,66784987,514.57,2,0.02446576469278930732657950060
0xa421d496c4f051036b164fcb88822261b6f8a8ba,67182612,451.47,1,0.02146560970490621019245359647
0xf0d93816052f52451b701e1f6067e37a17e76adc,66920180,440.0,2,0.02092025665084885481799362626
0x78dd824ff21a0a96723162d2a3ab3ac646c3073b,66592563,407.53,1,0.01937643680209189500903850570
0x279b49fd218fb74bdb72a8660485e8a29a131351,66599332,322.21,1,0.01531980885334093070660392345
0x397003da0fb095ccb5e8b35df9c82e97f296f1a5,67121836,310.5,1,0.01476304475020129413860686580
